"Project","generator-java"
"Directory Scanned","/home/travis/build/arf/java-codegen-yeoman/generator-java/production/java-codegen-yeoman/generator-java"
"Date","2017-08-08T10:36:44.253Z"
"CLI Version","2.1.7"
"WILD Version","1.0.1"
""
"Name","Version","Need Pedigree Review","Reason","License Types","Declared License","License Status","Path"
"through","2.3.8","false","Previously pedigree reviewed","Apache-2.0,KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/through"
"through2","2.0.3","false","Exempt - Version closely related to 2.0.0","MIT,UNKNOWN","MIT","Needs Review","node_modules/through2"
"timed-out","4.0.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/timed-out"
"tmp","0.0.29","false","Exempt - Version closely related to 0.0.24","MIT","MIT","Approved","node_modules/tmp"
"typedarray","0.0.6","false","Previously pedigree reviewed","KEYWORD,MIT,UNKNOWN","MIT","Needs Review","node_modules/typedarray"
"uglify-js","2.8.29","false","Exempt - Expected license matched","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/uglify-js"
"source-map","0.5.6","false","Exempt - Version closely related to 0.5.3","BSD-3-Clause","BSD-3-Clause","Approved","node_modules/uglify-js/node_modules/source-map"
"uglify-to-browserify","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/uglify-to-browserify"
"untildify","2.1.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/untildify"
"unzip-response","2.0.1","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/unzip-response"
"url-parse-lax","1.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/url-parse-lax"
"user-home","2.0.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/user-home"
"util-deprecate","1.0.2","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/util-deprecate"
"validate-npm-package-license","3.0.1","false","Previously pedigree reviewed","Apache-2.0,BSD-2-Clause,GPL-3.0,UNKNOWN","Apache-2.0","Needs Review | Needs Legal Approval","node_modules/validate-npm-package-license"
"vinyl","2.1.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/vinyl"
"vinyl-file","2.0.0","true","New package and not exempt","MIT","MIT","Approved","node_modules/vinyl-file"
"which","1.3.0","true","New version and not exempt","ISC","ISC","Approved","node_modules/which"
"window-size","0.1.0","false","Exempt - Version closely related to 0.1.2","MIT","","Approved","node_modules/window-size"
"wordwrap","0.0.3","false","Exempt - Version closely related to 0.0.2","MIT","MIT","Approved","node_modules/wordwrap"
"wrappy","1.0.2","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/wrappy"
"xtend","4.0.1","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/xtend"
"yallist","2.1.2","false","Exempt - Expected license matched","ISC","ISC","Approved","node_modules/yallist"
"yargs","3.10.0","false","Previously pedigree reviewed","KEYWORD,MIT","MIT","Needs Review","node_modules/yargs"
"yeoman-environment","1.6.6","true","New package and not exempt","","BSD-2-Clause","Approved | Reference Only","node_modules/yeoman-environment"
"glob","6.0.4","false","Previously pedigree reviewed","ISC","ISC","Approved","node_modules/yeoman-environment/node_modules/glob"
"globby","4.1.0","false","Exempt - Expected license matched","MIT","MIT","Approved","node_modules/yeoman-environment/node_modules/globby"
"yeoman-generator","1.1.1","false","Exempt - Expected license matched","BSD-2-Clause","BSD-2-Clause","Approved","node_modules/yeoman-generator"
"async","2.5.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/yeoman-generator/node_modules/async"
"minimist","1.2.0","false","Previously pedigree reviewed","MIT","MIT","Approved","node_modules/yeoman-generator/node_modules/minimist"
